Title,Date,User,Body,Rating
Thank you!,11/07/2018,JaneLaBass,"My name is Jane and I am 28 years old and I’ve always tried and failed to be politically in the know. This podcast has been so helpful for me. I listen to it so much I feel like Asma, Dominick, tamera, Ayesha, all the Scotts, and the effervescent Mara liason are my friends (omg of course ron as well). They are funny, smart, empathetic people who do some incredible reporting. I can’t describe how nice it is to not have to be sucked into the trump void everyday and instead listen to this group of wonderful people. This podcast keeps me informed in the kind of language that makes sense to me. Thanks guys, keep up the good work.",5
Love this podcast,11/07/2018,JC from SC,"This is a group of smart, thoughtful journalists. It’s my go-to source for political news, and we usually enjoy a few laughs along the way, too.",5
Falls flat on sharing any relevant and new information.,11/07/2018,CFE Follower,"I actually initially gave this podcast 5 stars after listening to the first episode. My second episode was the midterm recap and man did it fall flat. It was an absolute waste of my time. The analysis could have been given by someone who caught just a few minutes of the morning news before breaking it down. There were relatively no surprises in the midterms. They were just what we thought, republicans pick up seats in the senate, democrats take control of the house but to hear their analysis you would think that the results were mind blowing for democrats. I found it very underwhelming and uneducating.",1
"Insightful, fun commentary",11/07/2018,T_Mac_3,"By drawing on the wealth of talent and experience at NPR, this podcast never fails to educate and inform me.",5
I COULD HAVE HAD A V8,08/31/2018,Mr. Poultry,"I don’t agree with vehemence of the 2 y.o comments of Tom Thumber. But the discussion is indeed insipid. The only thing missing is the couch, the mug of coffee and the chippy weather person. Politics is also about issues, not just personality quirks and polls. While politics seems like a videogame as it’s now portrayed through the media, some hard-nosed analysis of what the big players are up to long term sure would be appreciated.",2
So extremely biased,09/11/2018,k8eannh,"I could literally only listen to about 4 minutes of this podcast. I like to hear liberal arguments because I like to be open minded but this podcast is ridiculous. They actually say ridiculous things. In the Bret Kavanaugh day 2 episode one of the women was commenting about how Kavanaugh came off as very serious and not cuddly or lovable. Who cares about thst? Shouldn’t we want the highest court in the land to be serious and to take the law seriously? Remember the last time the country went for cuddly and lovable? We ended up with Obama which then gave us Obamacare, a failing economy, crossed red lines with Syria, and an American apology tour. This podcast is pretty dumb.",1
Up-to-Date,09/13/2018,ko.duh,"These podcasts make me rock the political talks at bars- informal enough to understand, fact checked to be legitimate. Thank you NPR!",5
Like it 👍,09/13/2018,GRAZIAAE,👍👍,5
Asma Khalid has bad takes,09/14/2018,owenpv,"I’ve been listening to this podcast for years, since adding Asma Khalid the most brining “does any of it matter” takes have been slowing the show down. Please change reporters on this. Mara is great for example.",1
Begrudgingly unsubscribed,09/15/2018,MicIsAlwaysOn,"Love the guests and when actual discussion takes place. Do not love:

- Montonaldo’s incessant hyperbole and failure to recognize that he isn’t the smartest person in the room. He talks over people with real expertise, like Totenberg. I just can’t abide it anymore.",3
Not Objective News,09/20/2018,L92018,I really wanted to like this podcast but yet again was bombarded with non stop Democrat talking points and obvious bias. This is what is wrong with political discussion in this country. Stop pretending to be objective and please be honest about your biases. I wouldn’t mind this podcast if it was honest about what it is— incredibly Left leaning commentary.,1
"Funny, informative—overall a delight",09/20/2018,Halfagrape,"As a listener for over a year, I eagerly await every episode. The main group of reporters have a great dynamic and seem very happy to be on the pod.",5
